SEASON,TEAM,PTS,aud,hol,DREB,STL,NAME
2002,WAS,20,0.2,3.2,5.2,1.5,Jordan
2001,WAS,22.9,0.2,4.4,4.8,1.4,Jordan
1997,CHI,28.7,0.4,6.9,4.2,1.7,Jordan
1996,CHI,29.6,1.4,5.9,4.5,1.7,Jordan
1995,CHI,30.4,1.4,6.7,4.8,2.2,Jordan
1994,CHI,26.9,0.9,6.4,5.4,1.8,Jordan
1992,CHI,32.6,1,6.1,5,2.8,Jordan
1991,CHI,30.1,0.3,6.1,5.3,2.3,Jordan
1990,CHI,31.5,0.4,7,4.6,2.7,Jordan
1989,CHI,33.6,1.1,7.2,5.1,2.8,Jordan
1988,CHI,32.5,0.3,8.3,6.2,2.9,Jordan
1987,CHI,35,0.1,8.8,3.8,3.2,Jordan
1986,CHI,37.1,0.1,10.2,3.2,2.9,Jordan
1985,CHI,22.7,0.2,5.8,2.3,2.1,Jordan
1984,CHI,28.2,0.1,7.7,4.5,2.4,Jordan
2017,CLE,27.5,1.8,4.7,7.5,1.4,James
2016,CLE,26.4,1.7,4.8,7.3,1.2,James
2015,CLE,25.3,1.1,4.7,6,1.4,James
2014,CLE,25.3,1.7,5.4,5.3,1.6,James
2013,MIA,27.1,1.5,5.7,5.9,1.6,James
2012,MIA,26.8,1.4,5.3,6.8,1.7,James
2011,MIA,27.1,0.9,6.2,6.4,1.9,James
2010,MIA,26.7,1.2,6.4,6.5,1.6,James
2009,CLE,29.7,1.7,7.8,6.4,1.6,James
2008,CLE,28.4,1.6,7.3,6.3,1.7,James
2007,CLE,30,1.5,7.3,6.1,1.8,James
2006,CLE,27.3,1.3,6.3,5.7,1.6,James
2005,CLE,31.4,1.6,7.6,6.1,1.6,James
2004,CLE,27.2,1.4,6,6,2.2,James
2003,CLE,20.9,0.8,4.4,4.2,1.6,James
